pid,workload,block_number,interval,ecg_rate_mean,ecg_rate_var,hrv_rmssd,ecg_rate_mean_norm,hrv_rmssd_norm
1,low,6.0,0.0,86.20292307611682,585.8094449271415,316.1341936620695,0.2876012204176717,0.6394221676814519
1,high,6.0,1.0,91.15359726887348,726.3467594574274,323.06335611183107,0.4115977086864832,0.655978142905302
1,low,6.0,2.0,90.7316607128296,536.0643511539249,326.6623730077818,0.4010297235627144,0.6645773401375198
1,high,6.0,3.0,105.0929634881031,623.1028702003396,268.05719494785734,0.7607284316102907,0.5245509108274653
1,low,7.0,4.0,101.7493998082682,912.0950706823064,322.7848954914038,0.6769842508259322,0.6553128118258191
1,high,7.0,5.0,104.69419726806147,821.9733834116118,224.3168458615583,0.7507407796258937,0.42004129065248574
1,low,7.0,6.0,98.44290448720476,874.9267201740031,305.07507580457616,0.5941684983999324,0.6129984140786487
1,high,7.0,7.0,94.81831537849999,1043.697716224994,358.0436653149855,0.5033856467321043,0.7395572387468148
1,low,7.0,8.0,100.46339134381353,701.0150630178235,331.42749050066146,0.6447743886399592,0.6759627229630537
1,high,7.0,9.0,79.56740144835837,501.7286665741622,245.04457590703691,0.12140539584137311,0.4695664370994999
1,low,7.0,10.0,92.4239951930098,640.0629187433958,303.1057358828376,0.4434165832808498,0.6082930340001714
1,high,7.0,11.0,92.31134631796009,976.7031845647168,419.14758727143965,0.44059513626782815,0.8855539627846417
1,low,7.0,12.0,90.36332508298462,602.0826307037887,255.83578440460988,0.3918042478342002,0.49535006994351904
2,high,7.0,0.0,99.50453622944308,915.8483895850713,392.4896857728542,0.6207585349781528,0.8218597486670902
2,low,7.0,1.0,99.31587579028417,670.5120930268887,282.15227407155857,0.616033273120852,0.558228542495378
2,high,7.0,2.0,87.28305006900342,962.2501037618783,449.3677346525289,0.314654496150954,0.9577595164760007
2,low,7.0,3.0,93.87666886837982,703.1661840468125,307.43808178812003,0.479800806385245,0.6186443877155791
2,high,7.0,4.0,93.37372218181598,923.2066788893106,284.2879459355454,0.4672038104020321,0.5633313425412415
2,low,6.0,5.0,97.64682368587755,755.6531579069425,248.66507500376326,0.5742295527332554,0.47821696214895015
2,high,6.0,6.0,86.33079553161295,894.7451316858867,316.3213106915706,0.2908039630766471,0.639869249839915
2,low,6.0,7.0,100.85389049970641,1130.5399082192857,382.7570490270318,0.6545549805588329,0.7986053807698399
2,high,6.0,8.0,99.35173125567268,1009.6921828293453,351.1109834067329,0.6169313228854525,0.7229928544160918
2,low,6.0,9.0,88.40918938636455,833.6742354081902,386.84821963679815,0.3428602142445662,0.8083804899180119
2,high,6.0,10.0,96.1842387496432,1134.073340351967,395.44026125213156,0.537597088380569,0.8289096129017922
3,high,6.0,0.0,88.2819525716302,955.6454597120847,275.6499700397335,0.3396733920883735,0.5426924679366787
3,low,6.0,1.0,97.10445838468563,984.936614267253,322.73254349964185,0.5606452629803466,0.6551877262494866
3,high,6.0,2.0,97.54154499735834,1052.589732897406,301.25561898461257,0.57159270224428,0.6038725156835177
3,low,6.0,3.0,99.37706644267328,990.4324556926191,288.6145169213493,0.6175658777148342,0.5736688981353758
3,high,6.0,4.0,89.15812842021386,977.412907393687,402.5973930631307,0.36161842908743,0.8460102795113343
3,low,6.0,5.0,104.86979305271174,1116.3069396986857,342.74226951692066,0.7551388191259069,0.7029973324724569
3,high,6.0,6.0,102.1422031134416,967.6567524051312,315.9967090308745,0.6868225533531205,0.6390936731246816
3,low,6.0,7.0,104.0832605540512,975.8009967353479,326.2691423571004,0.7354390239170252,0.6636377869148697
3,high,6.0,8.0,90.82052361096804,890.9129462851014,369.0823538373131,0.40325541785757985,0.7659321801635426
3,low,6.0,9.0,98.68504395904391,931.1134150127326,406.5621691553312,0.6002332166605782,0.8554833919151058
3,high,7.0,10.0,97.02914741223235,782.0294530451665,264.2780528274802,0.5587589954239036,0.5155213370851837
3,low,7.0,11.0,101.12316727314688,611.7895460963988,219.60157574800303,0.6612993901036635,0.40877500908674363
3,high,7.0,12.0,103.82178575682467,678.5893824147668,202.42832781086946,0.7288900256665798,0.36774265208521334
3,low,7.0,13.0,99.24533444768618,990.9472359005929,346.7818950924143,0.6142664675466303,0.7126492841226602
3,high,7.0,14.0,109.92928181873692,883.7406187739396,257.1903668285784,0.8818607190118889,0.49858659863114674
3,low,7.0,15.0,102.08782007355919,1020.3906721067381,279.31326922805493,0.6854604548379996,0.551445256031795
3,high,7.0,16.0,89.377387437844,1137.12212724309,412.3025895844468,0.3671100746994935,0.8691990839757228
5,low,6.0,0.0,99.8482536054299,195.19175008213875,135.9645260989796,0.6293674124602732,0.20893946881408287
5,high,6.0,1.0,94.79169946607173,263.1000264539174,194.43439440544117,0.5027190143615067,0.34864260004271413
5,low,6.0,2.0,101.49646731276208,394.383954205417,210.0409434813553,0.6706492063469979,0.3859316146536392
5,high,6.0,3.0,99.13498451420516,250.72501778106735,179.63186889357604,0.6115026007075717,0.31327465371418234
