,pid,n_ica,interval,block_number,workload,alpha,theta,beta,alpha_theta_ratio,beta_theta_ratio
0,1,0,0.0,6,low,-225.34073843160755,-198.83989308403557,-762.5240540187494,1.1332773063621189,3.834864534434669
1,1,0,1.0,6,high,-233.49410481515523,-198.88765205682202,-762.6565789268448,1.174000006538597,3.834609997351442
2,1,0,2.0,6,low,15.998742673032366,12.217782311264118,31.929337565599738,1.3094637198014578,2.613349685905163
3,1,0,3.0,6,high,20.50268344338769,12.109419275880581,21.11029672383375,1.693118635690873,1.7432955489352842
4,1,0,4.0,7,low,-237.64894756952074,-198.97682767756154,-763.8997355456553,1.1943548921919023,3.8391391824958703
5,1,0,5.0,7,high,9.332885810242386,9.023464011661154,11.798264637512862,1.0342907998725723,1.3075094688986173
6,1,0,6.0,7,low,-283.3152635198855,-198.93298245986546,-763.6499415049005,1.4241744129938034,3.8387296669568918
7,1,0,7.0,7,high,12.772179158861245,10.899853362479483,21.504168269769036,1.1717753197329113,1.9728860154938175
8,1,0,8.0,7,low,10.50371179097108,6.314628753979156,4.378571192596041,1.6633933997073347,0.6934012058645395
9,1,0,9.0,7,high,15.377493171503367,6.0570514332893275,5.755128661813958,2.538775399361683,0.9501535070651682
10,1,0,10.0,7,low,12.095323314953923,8.904101865025227,12.408933388384193,1.358399027583413,1.3936198817677201
11,1,0,11.0,7,high,10.989685469057338,3.4083935828761773,1.1372514237282887,3.2243005984607205,0.333662001196651
12,1,0,12.0,7,low,11.2446105692418,4.1613755247877195,0.49154251013471517,2.7021379114338426,0.11812020020947035
13,2,0,0.0,7,high,2.4251639061739096,11.20989762678263,20.784493412629413,0.21634130720156808,1.8541198238038508
14,2,0,1.0,7,low,1.48608194006587,10.366886648563918,19.11614013322716,0.14334891375239747,1.843961526855822
15,2,0,2.0,7,high,1.4208087532646605,10.581339649009445,16.288832391503853,0.1342749406402116,1.53939226334434
16,2,0,3.0,7,low,2.183133028091764,9.268795587435992,16.68789254618472,0.23553578320909754,1.8004380815998833
17,2,0,4.0,7,high,2.215628781396786,13.464923791346763,27.738561952366616,0.16454818576995292,2.060060820410496
18,2,0,5.0,6,low,21.208301689074936,24.147220567050486,70.26697871502165,0.8782916290587174,2.9099406501012703
19,2,0,6.0,6,high,-228.3313698145309,-199.2386746741232,-765.2141330749791,1.146019316721475,3.84069074102491
20,2,0,7.0,6,low,-215.00372817807204,-199.2768928380937,-764.5212437279022,1.0789195130253055,3.836477139118443
21,2,0,8.0,6,high,-223.999054229552,-199.5049181868756,-766.5462014263136,1.122774597565223,3.8422421281278503
22,2,0,9.0,6,low,21.77556360212728,6.135411936938151,5.611212045184561,3.549160810381426,0.9145615816604502
23,2,0,10.0,6,high,26.697655546233623,4.537692698430821,5.07893927489711,5.883530974996597,1.1192779265668338
24,3,0,0.0,6,high,5.6081956965610855,7.54786178755468,8.433682599068582,0.7430178048315855,1.1173604971111808
25,3,0,1.0,6,low,3.2445023597277505,5.8957607595910115,3.730166532795347,0.5503110611212829,0.6326862104652476
26,3,0,2.0,6,high,5.3435263147590675,7.009979713424088,6.018139413089889,0.762274148172816,0.8585102466937489
27,3,0,3.0,6,low,4.55127903814022,6.259208023355978,5.371280424168234,0.7271333723303826,0.8581405833015171
28,3,0,4.0,6,high,4.275352925657891,5.739729060627744,4.296314624349591,0.7448701638175065,0.7485222000844254
29,3,0,5.0,6,low,6.2808545518745005,6.079491898950238,3.834178661620502,1.0331216253383004,0.6306741953686228
30,3,0,6.0,6,high,4.407647904278217,6.118072829731445,5.200985704926259,0.7204307674891951,0.8501019601550833
31,3,0,7.0,6,low,5.456724588635652,6.1414919380774835,4.843197806096317,0.8885014657112471,0.7886028109991168
32,3,0,8.0,6,high,4.59163124276373,5.431666493153925,5.962592809692823,0.8453448400322486,1.0977464866828768
33,3,0,9.0,6,low,5.619533450904935,5.5222060837948135,3.3028202151300925,1.0176247256319777,0.5980979639319115
34,3,0,10.0,7,high,-235.93210825267542,-198.96152328800534,-763.662966286839,1.1858177619154713,3.838244468913741
35,3,0,11.0,7,low,5.820823951572705,10.316823911354476,18.67753250274555,0.5642069692753436,1.8103955891104682
36,3,0,12.0,7,high,4.730099515109069,7.1295265450127445,8.404723767628152,0.6634521219950958,1.178861417313529
37,3,0,13.0,7,low,4.269109168258138,7.052451476077716,8.082137932986837,0.6053369077035382,1.1460040470185255
38,3,0,14.0,7,high,3.3041146989654826,6.22906309638754,4.939881224845631,0.530435259338063,0.7930375962494982
39,3,0,15.0,7,low,3.185290649708487,5.306719062498186,1.1281759010824572,0.6002372863900926,0.21259386219540294
40,3,0,16.0,7,high,4.250323398937134,5.5677332465279035,5.17388037151356,0.7633848840706727,0.9292615400962404
41,5,0,0.0,6,low,5.11721280020855,5.833783883159092,10.286827828779225,0.8771687300554394,1.7633200054728004
42,5,0,1.0,6,high,7.18212365300526,6.363525528530679,9.080366257522805,1.1286390886316746,1.426939550538652
43,5,0,2.0,6,low,4.796915412109579,5.855887357143076,7.373952193257051,0.8191611483541001,1.259237369766381
44,5,0,3.0,6,high,5.666899138204254,6.714871089125474,11.448453527822458,0.8439326776327281,1.7049401806630176
45,5,0,4.0,6,low,5.183674307039858,6.49062834710775,9.063392573328985,0.7986398280452653,1.3963813807591785
46,5,0,5.0,6,high,4.676987613703872,6.393142868760336,5.994846492867574,0.7315631309535814,0.9376994407806823
47,5,0,6.0,6,low,3.6530027014936732,4.7359620639394056,5.708678780328248,0.7713327624197819,1.2053894653834558
48,5,0,7.0,6,high,6.922231192459827,5.338708385053976,7.009163657214271,1.2966115946394479,1.3128950209823842
